sample_id,channel,replicate,dilution_replicate,Ct,dilution_factor,sample_class,template_vol,final_vol
200206_0_4,4,1,1,15,10,sample,5,20
200206_2_7,5,1,1,13,10,sample,5,20
200206_2_5,7,1,1,13,10,sample,5,20
200207_2_6,8,1,1,13,10,sample,5,20
200207_2_3,3,1,1,15,10,sample,5,20
200207_0_8,1,1,1,15,10,sample,5,20
200206_0_4,4,1,2,18,100,sample,5,20
200206_2_7,5,1,2,18,100,sample,5,20
200206_2_5,7,1,2,17,100,sample,5,20
200207_2_6,8,1,2,16,100,sample,5,20
200207_2_3,3,1,2,18,100,sample,5,20
200207_0_8,1,1,2,19,100,sample,5,20
200206_0_4,4,1,3,21,1000,sample,5,20
200206_2_7,5,1,3,20,1000,sample,5,20
200206_2_5,7,1,3,19,1000,sample,5,20
200207_2_6,8,1,3,19,1000,sample,5,20
200207_2_3,3,1,3,22,1000,sample,5,20
200207_0_8,1,1,3,22,1000,sample,5,20
200206_0_4,4,2,1,15,10,sample,5,20
200206_2_7,5,2,1,12,10,sample,5,20
200206_2_5,7,2,1,13,10,sample,5,20
200207_2_6,8,2,1,12,10,sample,5,20
200207_2_3,3,2,1,15,10,sample,5,20
200207_0_8,1,2,1,15,10,sample,5,20
200206_0_4,4,2,2,18,100,sample,5,20
200206_2_7,5,2,2,16,100,sample,5,20
200206_2_5,7,2,2,16,100,sample,5,20
200207_2_6,8,2,2,16,100,sample,5,20
200207_2_3,3,2,2,18,100,sample,5,20
200207_0_8,1,2,2,17,100,sample,5,20
200206_0_4,4,2,3,21,1000,sample,5,20
200206_2_7,5,2,3,20,1000,sample,5,20
200206_2_5,7,2,3,19,1000,sample,5,20
200207_2_6,8,2,3,19,1000,sample,5,20
200207_2_3,3,2,3,22,1000,sample,5,20
200207_0_8,1,2,3,21,1000,sample,5,20
S1,NA,1,NA,9,10,standard,5,20
S2,NA,1,NA,12,100,standard,5,20
S3,NA,1,NA,15,1000,standard,5,20
S4,NA,1,NA,18,10000,standard,5,20
S5,NA,1,NA,22,100000,standard,5,20
S6,NA,1,NA,25,1000000,standard,5,20
S7,NA,1,NA,29,10000000,standard,5,20
S1,NA,2,NA,9,10,standard,5,20
S2,NA,2,NA,12,100,standard,5,20
S3,NA,2,NA,15,1000,standard,5,20
S4,NA,2,NA,19,10000,standard,5,20
S5,NA,2,NA,22,100000,standard,5,20
S6,NA,2,NA,25,1000000,standard,5,20
S7,NA,2,NA,28,10000000,standard,5,20
S1,NA,3,NA,9,10,standard,5,20
S2,NA,3,NA,12,100,standard,5,20
S3,NA,3,NA,15,1000,standard,5,20
S4,NA,3,NA,18,10000,standard,5,20
S5,NA,3,NA,21,100000,standard,5,20
S6,NA,3,NA,24,1000000,standard,5,20
S7,NA,3,NA,27,10000000,standard,5,20
